xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
422,CREATIVE LIVES INC,2019,990,PO BOX 23,THETFORD,WWW.CREATIVELIVES.ORG,471544227,2014,"CREATIVE LIVES AFFIRMS THAT EACH CHILD IS INNATELY GOOD, WITH A UNIQUE POTENTIAL FOR LEARNING, CONTRIBUTION AND FULFILLMENT. IT IS OUR MISSION AND VISION TO HELP YOUNG PEOPLE THRIVE, DEVELOP THEIR CHARACTER AND REACH THIS POTENTIAL AS ADULTS -- BY ATTENDING TO THE DEVELOPMENT OF THEIR MINDS, THE HEALTH OF THEIR BODIES AND ENVIRONMENT, AND NURTURING THEIR INNER LIVES AND CREATIVITY.",MAUREEN BURFORD,14,NA,202418,217343,-14925,388969,217343,122097,162138,NA,162138,157645,353611,35355
423,DAILEY MEMORIAL LIBRARY,2018,990,101 JUNIOR HIGH DRIVE,DERBY,WWW.DAILEYMEMORIALLIBRARY.ORG,030222961,1957,FREE PUBLIC LIBRARY,GINNETTE PROVOST,NA,NA,86075,129166,-43091,88075,129166,-53846,725144,7340,717804,46771,63539,NA
425,NA,2018,NA,19 River Road South,Putney,www.landmark.edu,NA,1985,To provide scholarship assistance to students attending Landmark College,Dr Peter Eden,NA,NA,44710,22380,22330,61049,22380,49299,764847,100074,664773,NA,NA,NA
427,THE DOWNTOWN SCHOOL INC,2017,990EZ,442 MAIN STREET,NORWICH,www.thedowntownschool.org,464428508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-220139,NA,NA,NA
431,EDUCATIONAL PRAXIS INC,2018,990,2588 WESTMINSTER WEST ROAD,PUTNEY,WWW.EDUCATIONALPRAXIS.ORG,043385897,NA,"BRING PEOPLE OF DIVERSE COMMUNITIES TOGETHER THROUGH DIRECT EDUCATIONAL ACTIVITIES TO DEVELOP SOLIDARITY AMONG LEARNING-TEACHING CENTERS AROUND THE WORLD. THE EDUCATIONAL ACTIVITIES OF PRAXIS PROMOTES CRITICAL REFLECTION, ECONOMIC EQUITY AND SECURITY ECOLOGICAL CONSCIOUSNESS, CULTURAL GROUNDINGS AND CREATIVE ACTION FOR THE PURPOSE OF ADDRESSING SCHISMS OF CLASS, RACE, CASTE AND GENDER.",OLYA CLARK,NA,NA,277816,151469,126347,8188,151469,-48225,58324,12300,46024,NA,4783,3405
433,FAIR HAVEN OPERA HOUSE LTD,2019,990EZ,53 MAIN STREET,FAIR HAVEN,NA,412157734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1042,NA,NA,NA
439,NA,2013,990EZ,NA,NA,http//cobleighlibrary.org/main/friends-of-the-library,841660667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49592,NA,NA,NA
442,The Garland School,2018,NA,14 Greenwood School,Brattleboro,www.thegarlandschool.com,NA,2009,"We provide high quality childcare in our nature-based preschool. The Garland School is a non-profit which serves children from 1 years to 6 years old. We support families and community by offering a space for gatherings, parent education, and school functions. The Garland school does not discriminate against applicants and students on the basis of race, color, and national or ethnic origin and we are committed to fostering a fully inclusive school community.",Aaron Dall,20,NA,241124,225290,15834,221491,225290,7131,57221,NA,57221,165637,12378,209113
445,GOOD SHEPHERD FOUNDATION INC,2018,990PF,PO BOX 146,ST JOHNSBURY,NA,030367279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,RUTLAND COUNTY HOUSING COALITION,2019,990,56 HOWE ST PATCH PL BLDG A BOX 7,RUTLAND,WWW.HPCVT.ORG,550822651,2003,NA,JUSTIN CLASSEN,13,NA,822516,835565,-13049,812569,835565,-20654,246676,4344,242332,524432,789321,NA
455,INT'L SOCIETY OF ETHNOBIOLOGY INC,2017,990PF,PO BOX 303,BRISTOL,NA,582494533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,NA,2013,990,NA,NA,www.mccullough.lib.vt.us,030184077,1921,"THE JOHN G. MCCULLOUGH FREE LIBRARY IS COMMITTED TO PROVIDING MATERIALS AND SERVICES TO PERSONS OF ALL AGES IN ORDER TO MEET THEIR EDUCATIONAL, PROFESSIONAL AND RECREATIONAL NEEDS. SPECIAL EMPHASIS IS DIRECTED TOWARD STIMULATING CHILDREN'S APPRECIATION OF READING AND LEARNING. THE LIBRARY ALSO SERVES AS A COMFORTABLE GATHERING PLACE FOR THE COMMUNITY AT LARGE.",NA,NA,NA,68906,116505,-47599,109307,116505,-15906,667850,31390,636460,75286,60946,NA
458,Kopkind Colony,2018,990EZ,158 Kopkind Rd,Guilford,NA,030353636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39054,NA,NA,NA
459,MARIAN P HUFFMAN ED FD,2014,990PF,118 SOUTH MAIN STREET,STOWE,NA,571166130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42055,NA,NA,NA,NA,NA
465,MYERS PROUTY CHILDREN'S CAMPUSES INC,2018,990,PO BOX 153,SHAFTSBURY,N/A,824206365,2018,"CHARITABLE, RELIGIOUS, EDUCATIONAL, SCIENTIFIC. LITERARY, TESTIMG FOR PUBLIC SAFETY, FOSTERING NATIONAL OR INTERNATIONAL AMATEUR SPORTS COMPETITION, OR PREVENTING CRUELTY TO CHILDREN OR ANIMALS",JACQUELYN MYERS,52,NA,NA,NA,NA,954283,NA,49196,66411,17215,49196,596185,954283,NA
