xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
96,Highland Cat Rescue Inc,2019,990EZ,59 Highland Circle,Springfield,NA,820986259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,THE JENCKES FOUNDATION INC,2018,990PF,2124 BUTTERFIELD ROAD MARLBORO,BRATTLEBORO,NA,030363194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237824,NA,NA,NA,NA,NA
102,Kidsgardeningorg Inc,2019,990,132 Intervale Road,Burlington,www.kidsgardening.org,811103989,2016,"KidsGardening creates opportunities for kids to learn through the garden, engaging their natural curiousity and wonder by providing inspiration, community, know-how, and resources.",Emily Shipman,NA,NA,407613,424552,-16939,442868,424552,-33924,144179,235448,-91269,234094,220959,198908
103,KRATT BROTHERS CREATURE HERO SOCIETY,2018,990PF,PO BOX 475,STOWE,NA,043436143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229862,33823,NA,NA,NA,NA
113,NORTH COUNTRY ANIMAL LEAGUE INC,2019,990,16 MOUNTAIN VIEW MEADOW ROAD,MORRISVILLE,WWW.NCAL.COM,030344067,1994,ANIMAL HUMANE SHELTER AND PLACEMENT.,TRACY GOLDFINE,24,48,616605,646719,-30114,1114524,646719,437640,1439229,16322,1422907,448787,936980,141888
115,Parks For Paws Ltd,2019,990EZ,723 Carmel Place,Rutland,NA,814280912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5850,NA,NA,NA
116,PEOPLE &amp; PLANTS INTERNATIONAL INC,2018,990EZ,PO BOX 251,BRISTOL,WWW.PEOPLEANDPLANTS.ORG,900147624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,922,NA,NA,NA
117,POPE MEMORIAL FRONTIER ANIMAL,2019,990,C/O B HAMPTON 502 STRAWBERRY ACRES,NEWPORT,WWW.FRONTIERANIMALSOCIETY.COM,030337856,1993,"PROVIDE HOUSING, CARE AND FEEDING OF STRAY AND UNWANTED CATS AND DOGS. PRIMARY OBJECTIVE IS TO CYCLE ANIMALS BACK INTO LOVING ADOPTIVE HOMES. SECONDARILY, PROVISION OF EDUCATION IN AN EFFORT TO ASSURE EVERY PET OWNER IS EDUCATED IN THE PROPER CARE AND MAINTENANCE OF ANIMALS.",BETSY HAMPTON,NA,NA,206566,290498,-83932,811327,290498,506338,3344492,11301,3333191,92781,165210,65034
119,POTTERS ANGELS RESCUE INC,2018,990EZ,3890 NORTH RANDOLPH ROAD,RANDOLPH CENTER,www.pottersangelsrescue.org,275459364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187219,NA,NA,NA
123,RICHMOND LAND TRUST INC,2019,990,PO BOX 605,RICHMOND,WWW.RICHMONLANDTRUST.ORG,222859809,1987,"TO PRESERVE THE RURAL CHARACTER AND QUALITY OF LIFE IN RICHMOND, VERMONT AND ITS SURROUNDING COMMUNITIES THROUGH LAND CONSERVATION, HISTORIC PRESERVATION, LAND STEWARDSHIP, COMMUNITY SERVICE AND EDUCATION.",JEREMY HOFF,NA,20,76918,10198,66720,82505,10198,63078,654737,NA,654737,NA,81907,NA
128,South Hero Land Trust Inc,2019,990,PO Box 455,South Hero,www.shlt.org,043391477,1997,"Land conservation and environmental education. The South Hero Land Trust is dedicated to protecting farmland, woodland, natural and recreational areas and open spaces in South Hero, Vermont.",Emily Alger,NA,260,164260,176684,-12424,190181,176684,36615,1270730,18903,1251827,74001,142958,1555
129,ST ALBANS AREA WATERSHED ASSOC,2018,990EZ,PO BOX 1567,ST ALBANS,WWW.SAINTALBANSWATERSHED.ORG,412196343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21900,NA,NA,NA
130,ST JOHNSBURY WORKS INC,2019,990EZ,51 DEPOT SQUARE SUITE 202,ST JOHNSBURY,WWW.DISCOVERSTJVT.COM,020674821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62964,NA,NA,NA
132,Sustainable Woodstock Inc,2018,990,PO Box 611,Woodstock,www.sustainablewoodstock.org,271178081,2009,"Founded in 2009 the mission of the organization is to inspire, educate and empower everyone to live environmentally, economically and socially responsible lives.",Michael Caduto,NA,80,159902,136383,23519,312549,136383,119066,231075,1307,229768,68956,271229,36656
134,Noise Pollution Clearing House Inc,2018,990EZ,PO Box 1137,Montpelier,www.nonoise.org,311601550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38066,NA,NA,NA
135,THE VERMONT CENTER FOR ECOSTUDIES INC,2019,990,PO BOX 420,NORWICH,VTECOSTUDIES.ORG,510639429,2007,NA,CHRISTOPHER C RIMMER,18,13700,1095048,1099219,-4171,1218845,1099219,-28071,902281,104469,NA,899131,1168603,37861
139,VERMONT ENERGY INVESTMENT CORPORATION,2018,990,128 LAKESIDE AVENUE NO 401,BURLINGTON,WWW.VEIC.ORG,030304418,1986,NA,SCOTT COMEAU,310,NA,95648100,92719368,2928732,87429577,92719368,2029166,22684853,9910542,NA,32757313,NA,87335778
141,VERMONT PAWS &amp; BOOTS INC,2019,990EZ,PO BOX 153,WILLISTON,N/A,814207432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86132,NA,NA,NA
145,VERMONT VOLUNTEER SERVICES FOR ANIMALS,2015,990EZ,PO BOX 100,Bridgewater,NA,030318162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78136,NA,NA,NA
147,White River Animal Rescue,2018,990,1196 Dothan Rd,White River Junction,www.whiteriveranimalrescue.org,263821674,NA,Finding homes for dogs in need,NA,NA,NA,108059,101409,6650,113554,101409,452,9160,NA,9160,NA,30544,83010
150,American Environmental Health Studies Project Inc,2019,990,16 Lamoille Street,Essex Junction,fluoridealert.org; americanhealthstudies.org,621599535,1994,"To facilitate projects that empower citizens and educate decision makers on issues that have the potential to harm human health or the environment, and offer alternative solutions which are environmentally just and sustainable.",Ellen Connett,NA,50,364057,327208,36849,404738,327208,-96075,288020,2004,286016,173198,404003,NA
158,Composting Association of Vermont,2018,990EZ,PO Box 643,Hinesburg,www.compostingvermont.org,743056927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2219,NA,NA,NA
159,Connecticut Valley Fair Inc,2017,990EZ,PO Box 818,Bradford,www.bradfordfair.org,237168840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208944,NA,NA,NA
162,EARTHWALK VERMONT INC,2018,990,PO BOX 21,PLAINFIELD,EARTHWALKVERMONT.ORG,113744202,2005,NATURE BASED EDUCATION.,ELAINE TOOHEY,25,19,461444,367060,94384,318168,367060,-56428,68763,32490,36273,273851,90495,223183
165,ENVIRONMENTAL SCIENCE POLICY AND,2018,990,PO BOX 250,ST ALBANS BAY,WWW.ESPRINSTITUTE.ORG,811347753,2016,"THE ENVIRONMENTAL SCIENCE, POLICY, AND RESEARCH INSTITUTE (ESPRI) FILLS KNOWLEDGE, DATA AND POLICY GAPS TO ADVANCE BASIC SCIENCE, PUBLIC HEALTH AND ENVIRONMENTAL STEWARDSHIP.",JENNIFER CLANCY,NA,NA,NA,NA,NA,500756,NA,62933,65046,500,64546,222661,NA,500756
174,North Branch Nature Center Inc,2019,990,713 Elm Street,Montpelier,www.northbranchnaturecenter.org,760830759,2006,Connect People of All Ages with the natural world,Chip Darmstadt,19,75,716632,663364,53268,794393,663364,39013,1261589,206825,1054764,481656,299421,488127
180,THE HOOVED ANIMAL SANCTUARY,2016,990EZ,PO BOX 258,CHELSEA,WWW.HOOVED.ORG,311816855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29617,NA,NA,NA
181,HUBBARD BROOK RESEARCH FOUNDATION INC,2018,990,30 PLEASANT ST,WOODSTOCK,WWW.HUBBARDBROOKFOUNDATION.ORG,020474938,1995,NA,ANTHEA LAVALLEE,13,10,598569,581365,17204,697140,581365,44005,1730057,105560,1624497,411691,610621,50000
182,ISLE LA MOTTE PRESERVATION TRUST INC,2019,990,PO BOX 274,ISLE LAMOTTE,WWW.ILMPT.ORG,030359329,1998,NA,LINDA FITCH,NA,40,29497,18719,10778,42624,18719,23205,1305758,NA,1305758,NA,32923,4730
183,JERICHO UNDERHILL LAND TRUST INC,2019,990,PO BOX 80,JERICHO,WWW.JULT.ORG,030358707,1989,"CONSERVE OUR PRODUCTIVE WORKING LANDSCAPE, SCENIC VISTAS AND IMPORTANT WILDLIFE HABITATS BY WORKING HAND-IN-HAND WITH LANDOWNERS AND INTERESTED CITIZENS WHO SHARE A SIMILAR GOAL.",OLIVIA STRONG,NA,10,29028,13545,15483,77726,13545,60768,1219923,NA,1219923,NA,76937,360
186,LAKE CHAMPLAIN COMMITTEE INC,2018,990,208 FLYNN AVENUEBUILDING 3SUITE F,BURLINGTON,WWW.LAKECHAMPLAINCOMMITTEE.ORG,222482466,1963,"LCC IS DEDICATED TO PROTECTING LAKE CHAMPLAIN'S ENVIRONMENTAL INTEGRITY AND RECREATIONAL RESOURCES FOR THIS AND FUTURE GENERATIONS THROUGH SCIENCE- BASED ADVOCACY, EDUCATION, AND COLLABORATIVE ACTION.",LORI FISHER,NA,230,425351,237341,188010,318143,237341,48105,1227920,66250,1161670,171094,296454,NA
189,LAKE RESCUE ASSOCIATION,2017,990EZ,PO BOX 372,LUDLOW,www.lakerescue.org,030368496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139131,NA,NA,NA
193,National Gardening Association Inc,2015,990,237 Commerce St Suite 101,Williston,"www.garden.org, www.kidsgardening.org",237346417,1973,"To promote home, school and community gardening as a means to renew and sustain connections between people, plants and the environment.",Jennifer Tedeschi,15,NA,362853,416234,-53381,672191,416234,-247158,189694,589503,-399809,580401,40602,528821
194,NEW LEARNING JOURNEY INC,2018,990EZ,700 BRAGG HILL ROAD,FAYSTON,N/A,474879926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102290,NA,NA,NA
196,NORTHEAST RECYCLING COUNCIL INC,2019,990,139 MAIN STREET NO 401,BRATTLEBORO,WWW.NERC.ORG,030367144,2000,NA,KALEY LALEKER,NA,11,919752,788417,131335,714490,788417,16484,1073369,2367,NA,289525,439364,266873
197,NORTHEAST WILDERNESS TRUST CORPORATION,2019,990,17 STATE STREET NO 302,MONTPELIER,WWW.NEWILDERNESSTRUST.ORG,010729039,2002,NA,JON LEIBOWITZ,NA,NA,2519568,551142,1968426,3571751,551142,2898955,14967848,333098,14634750,375835,3451331,66015
202,PROJECT PEARL,2018,990EZ,P O BOX 25044,WINSTON SALEM,WWW.PROJECTPEARLNC.ORG,454357090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55065,NA,NA,NA
205,RECYCLEBALLS,2019,990,102 KIMBALL AVENUE UNIT 1,SOUTH BURLINGTON,WWW.RECYCLEBALLS.ORG,814157244,2016,RECYCLING OF USED TENNIS BALLS,DERRICK SENIOR,NA,NA,176512,111822,64690,338266,111822,8915,253361,177821,75540,52139,134110,58638
207,The Dorset Equine Rescue Inc,2019,990,PO Box 92,East Dorset,NA,463192988,2013,"To rescue, rehabilitate, and re-home abused, neglected and slaughter bound horses of all breads and sizes. To provide a safe, loving and rehabilitative home, including all needed medical care, to every incoming animal. Once ready for their forever family, each horse is placed in a prescreened and qualified home. To educate the community about all matters of horse care, health and advocacy to continously improve the long-honored and time-tested human equine partnership.",NA,NA,NA,201526,163146,38380,230395,163146,25737,118834,9084,109750,74534,230366,NA
210,VERMONT COVERTSWOODLANDS FOR,2018,990,PO BOX 328,VERGENNES,WWW.VTCOVERTS.ORG,030332447,1985,TO ENLIST VERMONT LANDOWNERS IN A LONG-TERM COMMITMENT TO MAINTAIN AND ENHANCE DIVERSE WILDLIFE HABITAT AND HEALTHY ECOSYSTEMS.,LISA SAUSVILLE,NA,NA,201544,78824,122720,72210,78824,-12894,253054,5844,247210,47203,74987,10278
211,VERMONT ENGLISH BULLDOG RESCUE INC,2018,990PF,PO BOX 5264,ESSEX JUNCTION,NA,473445350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11102,NA,NA,NA,NA,NA
217,NA,2018,NA,NA,Hinesburg,www.vtdogrescue.com,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20523,NA,NA,NA
219,NA,NA,NA,NA,NA,NA,030349262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,WINDHAM COUNTY HUMANE SOCIETY,2019,990,PO BOX 397,BRATTLEBORO,windhamcountyhumane.org,036016140,1905,"The Windham County Humane Society is dedicated to ensuring the safety and well being of animals, as well as enhancing the relationship between individuals and pets through adoption, education, advocacy, compassion and promotion of animal welfare.",Julie Hamilton,17,NA,1047064,601393,445671,798039,601393,191356,2157902,25604,2132298,331234,514853,169940
223,Addison County Humane Society Inc,2019,990,236 Boardman Street,Middlebury,www.homewardboundanimals.org,030264068,1975,NA,Jessica Danyow,32,80,670849,695464,-24615,911164,695464,109657,2226139,11899,NA,499922,742017,115181
225,ALLIANCE FOR VERMONT COMMUNITIES INC,2019,990,PO BOX 545,SOUTH ROYALTON,ALLIANCEVERMONT.ORG,813430662,2016,NA,MICHAEL SACCA,NA,24,341382,72886,268496,83194,72886,45511,453824,87000,NA,NA,83194,NA
226,ALMOST HOME DOG RESCUE AND REHAB INC,2017,990PF,1067 JUNCTION ROAD,MONTPELIER,NA,455434057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1348,NA,NA,NA,NA,NA
227,KAUFMAN BARBARA CHARITABLE TRUST LMHS,2019,990,PO BOX 120,NEWPORT,N/A,046878510,1998,To Support the efforts and goals of the LMHS.,NA,NA,NA,28146,48880,-20734,48706,48880,207,653960,NA,653960,6324,NA,NA
229,NA,2013,990,NA,NA,NA,030369585,2001,"ACHIEVE A HEALTHIER ENVIRONMENT, STRENGTHEN LOCAL ECONOMIES, AND INCREASE ENERGY SECURITY ACROSS THE UNITED STATES THROUGH THE DEVELOPMENT OF SUSTAINABLE BIOMASS ENERGY SYSTEMS AT THE COMMUNITY SCALE. BIOMASS ENERGY RESOURCE CENTER PROVIDES INDEPENDENT AND UNBIASED RESEARCH, TECHNICAL ASSISTANCE FOR COMMUNITY-SCALE PROJECT AND PROGRAM DESIGN AND IMPLEMENTATION AND THROUGH PUBLIC EDUCATION.",BRENDA QUIROZ MADAY,NA,NA,526460,662475,-136015,26851,662475,-34376,NA,NA,NA,15746,NA,27740
