xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
332,NORTHSHIRE PERFORMING ARTS LTD,2016,990EZ,PO BOX 8,DORSET,NORTHSHIREPERFORMINGARTS.COM,364562987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,Okemo Valley TV Corp,2018,990,37C Main Street,Ludlow,http://okemovalley.tv,030370616,2001,To provide the Okemo Valley Region with multi-media technology for the purposes of education and information.,Francis Devine,NA,NA,210425,203374,7051,225527,203374,22044,300659,5023,295636,133109,33450,190456
334,ONION RIVER COMMUNITY ACCESS MEDIA,2018,990,89 MAIN ST,MONTPELIER,WWW.ORCAMEDIA.NET,421611563,2003,PUBLIC ACCESS TV STATION,NA,25,NA,489060,463516,25544,415564,463516,-47451,435860,43034,392826,311965,805,419104
336,PEACHAM HISTORICAL ASSOCIATION,2014,990EZ,PO BOX 101,PEACHAM,WWW.PEACHAMHISTORICAL.ORG,043389268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249029,NA,NA,NA
341,RIVER ARTS OF MORRISVILLE INC,2019,990,PO BOX 829,MORRISVILLE,WWW.RIVERARTSVT.ORG,030368569,2001,"River Arts mission is to enrich the community through the arts. We are committed to providing multi-disciplinary arts opportunities and making the arts accessible for everyone no matter their ability, age, or financial means. From visual media, writing &amp; poetry, dance, culinary arts, 3D, performance, music and fiber arts, River Arts offers a wide range of programs throughout the year for all ages. Were also a gathering place in our community for many private events: from artisanal markets and fish fries to family celebrations.",JOSEPH PENSAK,NA,59,275948,297457,-21509,330113,297457,3328,828225,62960,765265,163280,191272,91485
342,Rochester Chamber Music Society,2018,990EZ,PO Box 217,Rochester,www.rcmsvt.org,030360081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26090,NA,NA,NA
344,RUTLAND AMATEUR HOCKEY ASSOCATION INC,2017,990EZ,PO BOX 455,RUTLAND,N/A,237178393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136029,NA,NA,NA
346,ST ALBANS HISTORICAL SOCIETY INC,2018,990,PO BOX 722 CHURCH BISHOP ST,ST ALBANS,WWW.STAMUSEUM.COM,237154664,1972,NA,CHARLIE MOORE,NA,40,117786,152325,-34539,123193,152325,-32603,573143,17590,NA,56797,56947,4518
348,NA,2018,NA,NA,Sharon,www.sevenstarsarts.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145836,NA,NA,NA
349,SHELBURNE MUSEUM INC,2018,990,US ROUTE 7 PO BOX 10,SHELBURNE,WWW.SHELBURNEMUSEUM.ORG,030179436,1947,"TO BROADEN OUR AUDIENCE, ENGAGE THEIR CURIOSITY, ANIMATE THEIR CREATIVITY, AND GIVE THEM AN EXTRAORDINARY, EDUCATIONAL MUSEUM EXPERIENCE.",BERENICE SARAFZADE,208,275,5282069,6774923,-1492854,8754143,6774923,1461159,46446767,1893248,44553519,4624370,5158503,946812
352,SOUTHERN VERMONT ARTS CENTER INC,2019,990,PO BOX 617,MANCHESTER,WWW.SVAC.ORG,030186501,1934,TO NURTURE AND PROMOTE THE ARTS,NA,21,NA,470790,998696,-527906,1022799,998696,-162117,9955388,2542,9952846,484243,410172,166711
353,ST JOHNSBURY ATHENAEUM INC,2018,990,1171 MAIN STREET,ST JOHNSBURY,WWW.STJATHENAEUM.ORG,030183005,1885,NA,ROBERT JOLY,15,NA,744054,660986,83068,735935,660986,-144507,7103734,70220,NA,302898,335039,14736
355,NA,NA,NA,NA,NA,NA,571192082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,Stowe Story Labs Inc,2018,990EZ,PO Box 513,Stowe,stowestorylabs.org,473208321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33761,NA,NA,NA
358,TACONIC MUSIC INC,2018,990EZ,PO BOX 732,MANCHESTER CENTER,WWW.TACONICMUSIC.ORG,814291042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50653,NA,NA,NA
359,NA,NA,NA,NA,NA,NA,043389775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,The Orton Family Foundation Inc,2018,990PF,120 Graham Way,Shelburne,NA,030346513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,Vermont Youth Ballet Inc,2018,990EZ,PO Box 8147,Essex,www.vermontballettheater.org,030371404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6037,NA,NA,NA
369,Vermont Marble Museum Inc,2018,990,PO Box 637,Proctor,vermontmarblemuseum.org,464612220,2013,"To curate, house and display the papers, records, tools, and artifacts of the historic Vermont Marble Company.",Robert H Young,12,NA,185529,216090,-30561,197600,216090,30166,109536,113200,-3664,48703,91560,35846
370,Vermont Performing Arts League,2019,990,294 North Winooski Ave,Burlington,N/A,030268765,2001,"The mission of Vermont Performing Arts League is to support and sustain a spirit of community among diverse peoples by fostering educational, cultural, social and recreational",April Werner,NA,75,224694,203467,21227,242005,203467,-25592,251,104302,-104051,48772,20455,221550
371,NA,2017,NA,NA,Montpelier,www.vermontphilharmonic.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65076,NA,NA,NA
372,Vermont Shakespeare Festival Inc,2018,990EZ,PO Box 64733,Burlington,www.vermontshakespeare.org,432081695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3326,NA,NA,NA
379,WOODSTOCK HISTORICAL SOCIETY INC,2015,990,26 ELM STREET,WOODSTOCK,WWW.WOODSTOCKHISTORICAL.ORG,036008872,1943,SHARING AND PRESERVING THE HISTORY OF WOODSTOCK THROUGH INSPIRING EDUCATIONAL EXPERIENCES AND DYNAMIC COLLECTIONS.,THOMAS HARTMAN,NA,40,639935,297865,342070,276230,297865,-41588,2949524,10568,2938956,173475,133766,14612
385,Astrea Media Inc,2018,990EZ,PO Box 198 Cannery Row,West Groton,www.astreamedia.org,043541400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63551,NA,NA,NA
387,Bennington Museum Inc,2018,990,75 Main Street,Bennington,www.benningtonmuseum.org,030185292,1928,"The Bennington Museum collects, exhibits, and interprets the art, history, and culture of Vermont and northern New England. Our goal is to educate, delight, and inspire our local community, and visitors from across the nation and the world.",NA,20,117,1414668,1048459,366209,920659,1048459,-288777,3198802,108796,3090006,575053,625571,166832
389,NA,2019,NA,PO Box 1116,Brattleboro,www.brattleboroliteraryfestival.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2740,NA,NA,NA
391,CENTRAL VERMONT CHAMBER MUSIC,2018,990EZ,219 KELSEY MOUNTAIN RAOD,RANDOLPH,N/A,133755957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32008,NA,NA,NA
392,NA,2013,990EZ,NA,NA,N/A,222975148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4252,NA,NA,NA
393,CHANDLER CENTER FOR THE ARTS INC,2018,990,71-73 MAIN STREET,RANDOLPH,CHANDLER-ARTS.ORG,030266500,2002,"TO STRENGTHEN AND ENERGIZE OUR COMMUNITY, TO DEEPEN THE CULTURAL AND ARTISTIC GROWTH OF YOUTH, TO OFFER OPPORTUNITIES FOR PEOPLE TO COME TOGETHER IN CELEBRATION OF THE ARTS, TO INSPIRE AND CULTIVATE ARTISTIC EXPRESSION AND EDUCATION IN THE PERFORMING AND VISUAL ARTS FOR PEOPLE OF ALL AGES AND INCOMES.",RON WOLD,14,240,456015,550678,-94663,604524,550678,-116498,3156276,295102,2861174,128479,195309,382422
394,Chittenden Community Television,2018,990,294 No Winoski Avenue 210/211,Burlington,www.cctv.org,222582888,1985,"To be a trusted source of community based channels, tools and training that helps citizens and organizations expand their reach and impact.",Lauren-Glenn Davitian,24,50,866726,850767,15959,737223,850767,55533,363711,13501,350210,529185,630624,106023
401,CORVETTE CLUB OF VERMONT INC,2019,990EZ,27 SILVER CIRCLE,BARRE,CORVETTEVERMONT.COM,030298453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40242,NA,NA,NA
410,FAIRBANKS MUSEUM &amp; PLANETARIUM,2018,990,1302 MAIN STREET,ST JOHNSBURY,WWW.FAIRBANKSMUSEUM.COM,030184732,1889,NA,ADAM KANE,22,NA,1625773,1401032,224741,1309894,1401032,33169,4488621,161662,NA,828872,842564,368486
411,Flow of History Inc,2018,990EZ,729 Union Village Road,Norwich,flowofhistory.org,800119592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37802,NA,NA,NA
419,HELEN DAY ART CENTER INC,2018,990,PO BOX 411,STOWE,WWW.HELENDAY.COM,030284825,1982,"THE HELEN DAY ART CENTER IS A MEMBER SUPPORTED, COMMUNITY ARTS AND EDUCATION NON-PROFIT ORGANIZATION, WHOSE MISSION IS TO ENHANCE THE HUMAN EXPERIENCE THROUGH THE VISUAL ARTS.",DIANE ARNOLD,15,NA,440810,421318,19492,448177,421318,8214,230403,19007,211396,259140,280177,126593
420,NA,2014,NA,NA,North Ferrisburgh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20943,NA,NA,NA
423,VSA VERMONT INC,2017,990,21 CARMICHAEL STREET SUITE 206,ESSEX JUNCTION,WWW.VSAVT.ORG,030307529,1986,VSA VERMONT USES THE MAGIC OF THE ARTS TO ENGAGE THE CAPABILITIES AND ENHANCE THE CONFIDENCE OF CHILDREN AND ADULTS WITH DISABILITIES.,KATIE MILLER AS OF DEC 2018,39,25,471426,409710,61716,343564,409710,-16881,387413,19432,367981,281580,306064,37026
424,NA,NA,NA,NA,NA,NA,204007715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,NA,2013,990PF,NA,NA,NA,912169843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,KINGDOM COUNTY PRODUCTIONS INC,2018,990,949 SOMERS ROAD,BARNET,KINGDOMCOUNTY.ORG,030328686,1991,"TO PROVIDE ARTS EDUCATION, MEDIA PRODUCTION AND DISTRIBUTION, AND FILM AND PERFORMING ARTS PRESENTATIONS.",ELIZABETH O'BRIEN,NA,NA,434903,402004,32899,468065,402004,8095,329805,NA,329805,92383,413542,51888
429,League of Vermont Writers,2018,990EZ,PO Box 5046,Burlington,NA,036017069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13975,NA,NA,NA
430,LEAHY CENTER FOR LAKE,2018,990,1 COLLEGE STREET,BURLINGTON,WWW.ECHOVERMONT.ORG,030347288,1994,NA,DR PHELAN FRETZ,56,275,4186122,3464446,721676,4044456,3464446,520122,16775132,392528,NA,1950654,2362419,1015869
432,MAD RIVER VALLEY TELEVISION INC,2018,990EZ,PO BOX 1275,WAITSFIELD,mrvtv.com,030357623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160394,NA,NA,NA
436,MIDDLEBURY COMMUNITY MUSIC CENTER,2018,990,6 MAIN STREET,MIDDLEBURY,WWW.MCMCVT.ORG,471178640,2014,NA,SADIE BRIGHTMAN,26,NA,503962,510589,-6627,531076,510589,36050,223373,27134,196239,397455,104275,418859
438,MILTON ARTISTS GUILD INC,2019,990EZ,PO BOX 369,MILTON,miltonartistsguild.org,800379539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53462,NA,NA,NA
442,MUSIC CAMPS NORTH INC,2018,990EZ,PO BOX 674,PUTNEY,HTTP://MUSICCAMPSNORTH.COM,813425061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34831,NA,NA,NA
